,movie_name,year,time_in_min,genres,rating,votes,grosses
0,The Gentlemen,2019,113 min,"
Action, Comedy, Crime            ",8.0,"73,642",-
1,Knives Out,2019,131 min,"
Comedy, Crime, Drama            ",8.0,"248,714",$165.36M
2,1917,2019,119 min,"
Drama, War            ",8.4,"255,262",$159.18M
3,Gisaengchung,2019,132 min,"
Comedy, Drama, Thriller            ",8.6,"338,923",$53.37M
4,Once Upon a Time... in Hollywood,2019,161 min,"
Comedy, Drama            ",7.7,"421,855",$142.50M
5,Uncut Gems,2019,135 min,"
Crime, Drama, Thriller            ",7.5,"137,126",-
6,Jojo Rabbit,2019,108 min,"
Comedy, Drama, War            ",8.0,"178,442",$0.35M
7,Joker,2019,122 min,"
Crime, Drama, Thriller            ",8.5,"733,089",$335.45M
8,Ford v Ferrari,2019,152 min,"
Action, Biography, Drama            ",8.1,"183,209",$117.62M
9,Little Women,2019,135 min,"
Drama, Romance            ",8.0,"82,977",$108.05M
10,The Shawshank Redemption,1994,142 min,"
Drama            ",9.3,"2,208,540",$28.34M
11,Avengers: Endgame,2019,181 min,"
Action, Adventure, Drama            ",8.4,"686,733",$858.37M
12,The Irishman,2019,209 min,"
Biography, Crime, Drama            ",7.9,"266,287",-
13,The Godfather,1972,175 min,"
Crime, Drama            ",9.2,"1,521,229",$134.97M
14,Harry Potter and the Sorcerer's Stone,2001,152 min,"
Adventure, Family, Fantasy            ",7.6,"599,534",$317.58M
15,Inception,2010,148 min,"
Action, Adventure, Sci-Fi            ",8.8,"1,936,924",$292.58M
16,The Lighthouse,2019,109 min,"
Drama, Fantasy, Horror            ",7.7,"87,981",$0.43M
17,Toy Story 4,2019,100 min,"
Animation, Adventure, Comedy            ",7.8,"168,490",$434.04M
18,Blade Runner 2049,2017,164 min,"
Action, Drama, Mystery            ",8.0,"420,118",$92.05M
19,The Dark Knight,2008,152 min,"
Action, Crime, Drama            ",9.0,"2,187,814",$534.86M
20,Pulp Fiction,1994,154 min,"
Crime, Drama            ",8.9,"1,734,521",$107.93M
21,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"
Action, Adventure, Drama            ",8.8,"1,580,220",$315.54M
22,Interstellar,2014,169 min,"
Adventure, Drama, Sci-Fi            ",8.6,"1,389,722",$188.02M
23,28 Days Later...,2002,113 min,"
Drama, Horror, Sci-Fi            ",7.6,"360,422",$45.06M
24,Green Book,2018,130 min,"
Biography, Comedy, Drama            ",8.2,"303,689",$85.08M
25,Marriage Story,2019,137 min,"
Comedy, Drama, Romance            ",8.0,"195,760",-
26,Goodfellas,1990,146 min,"
Biography, Crime, Drama            ",8.7,"961,538",$46.84M
